"id","img","text","type"
"87",,,"花"
"88","http://i1.douguo.net//upload/shicai/1445843633.jpg","花生","坚果、干果类"
"89","http://i1.douguo.net//upload/shicai/1445929005.jpg","芝麻","坚果、干果类"
"90","http://i1.douguo.net//upload/shicai/1445843420.jpg","核桃","坚果、干果类"
"91","http://i1.douguo.net//upload/shicai/1446025478.jpg","杏仁","坚果、干果类"
"92","http://i1.douguo.net//upload/shicai/1445843277.jpg","莲子","坚果、干果类"
"93","http://i1.douguo.net//upload/shicai/1445928656.jpg","腰果","坚果、干果类"
"94","http://i1.douguo.net//upload/shicai/1445931785.jpg","松子","坚果、干果类"
"95","http://i1.douguo.net//upload/shicai/1445843253.jpg","栗子","坚果、干果类"
"96","http://i1.douguo.net//upload/shicai/1445843298.jpg","枸杞","坚果、干果类"
"97","http://i1.douguo.net//upload/shicai/1445928957.jpg","榛子","坚果、干果类"
"98",,,"坚果、干果类"
"99","http://i1.douguo.net//upload/shicai/1446028243.jpg","土豆","蔬菜类"
"100","http://i1.douguo.net//upload/shicai/1446107249.jpg","胡萝卜","蔬菜类"
"101","http://i1.douguo.net//upload/shicai/1446100116.jpg","白萝卜","蔬菜类"
"102","http://i1.douguo.net//upload/shicai/1446100217.jpg","百合","蔬菜类"
"103","http://i1.douguo.net/upload/baike/124/hei_i.jpg","冬笋","蔬菜类"
"104","http://i1.douguo.net/upload/baike/123/heh_i.jpg","春笋","蔬菜类"
"105","http://i1.douguo.net//upload/shicai/1446097242.jpg","洋葱","蔬菜类"
"106","http://i1.douguo.net/upload/baike/117/hco_i.jpg","青笋","蔬菜类"
"107","http://i1.douguo.net//upload/shicai/1446026358.jpg","藕","蔬菜类"
"108","http://i1.douguo.net//upload/shicai/1446108356.jpg","茭白","蔬菜类"
"109",,,"蔬菜类"
"110","http://i1.douguo.net//upload/shicai/1446101928.jpg","海带","菌藻类"
"111","http://i1.douguo.net//upload/shicai/1446102130.jpg","紫菜","菌藻类"
"112","http://i1.douguo.net/upload/baike/156/czjk_cj.jpg","海苔","菌藻类"
"113","http://i1.douguo.net//upload/shicai/1446014102.jpg","香菇","菌藻类"
"114","http://i1.douguo.net//upload/shicai/1446026042.jpg","木耳","菌藻类"
"115","http://i1.douguo.net//upload/shicai/1446098057.jpg","银耳","菌藻类"
"116","http://i1.douguo.net//upload/shicai/1446108479.jpg","金针菇","菌藻类"
"117","http://i1.douguo.net//upload/shicai/1446026432.jpg","平菇","菌藻类"
"118","http://i1.douguo.net//upload/shicai/1446100596.jpg","草菇","菌藻类"
